Desired Heading,Current Heading,Heading Difference,Movements,left_weightage,right_weightage
115.55,104.00,11.55,Auto:Turning Forward,,
115.55,106.79,8.76,Forward Right tilt,,
115.55,105.74,9.81,Auto:Turning Forward,,
115.55,100.45,15.10,Forward Right tilt,,
115.55,97.56,17.99,Auto:Turning Forward,,
115.55,102.16,13.39,Forward Right tilt,,
115.55,110.08,5.47,Auto:Turning Forward,,
115.55,109.74,5.81,Forward Right tilt,,
115.55,111.52,4.03,Auto:Turning Forward,,
115.55,104.24,11.31,Forward Right tilt,,
115.55,105.88,9.67,Auto:Turning Forward,,
115.55,101.06,14.49,Forward Right tilt,,
115.55,101.63,13.92,Auto:Turning Forward,,
115.55,100.83,14.72,Forward Right tilt,,
115.55,98.63,16.92,Auto:Turning Forward,,
115.55,94.73,20.82,Forward Right tilt,,
115.55,91.73,23.82,Auto:Turning Forward,,
116.73,93.00,23.73,Forward Right tilt,,
116.73,92.23,24.50,Auto:Turning Forward,,
116.73,102.12,14.61,Forward Right tilt,,
116.73,109.88,6.85,Auto:Turning Forward,,
116.73,117.60,-0.87,Forward Right tilt,,
116.73,120.72,-3.99,Auto:Turning Forward,,
116.73,115.17,1.56,No Obsticle: Moving straight,,
116.52,114.64,1.88,Auto:Turning Forward,,
116.52,109.86,6.65,No Obsticle: Moving straight,,
116.52,108.09,8.43,Auto:Turning Forward,,
116.52,103.44,13.07,No Obsticle: Moving straight,,
116.52,108.25,8.27,Auto:Turning Forward,,
116.52,114.43,2.09,No Obsticle: Moving straight,,
116.52,118.14,-1.62,Auto:Turning Forward,,
116.52,120.45,-3.93,No Obsticle: Moving straight,,
116.52,123.18,-6.66,Auto:Turning Forward,,
116.52,111.73,4.79,No Obsticle: Moving straight,,
116.52,107.09,9.42,Auto:Turning Forward,,
116.52,105.78,10.73,No Obsticle: Moving straight,,
116.52,106.36,10.16,Auto:Turning Forward,,
116.52,107.12,9.40,No Obsticle: Moving straight,,
116.52,109.48,7.03,Auto:Turning Forward,,
116.52,107.71,8.80,No Obsticle: Moving straight,,
116.52,105.97,10.55,Auto:Turning Forward,,
116.52,104.03,12.49,No Obsticle: Moving straight,,
116.52,102.41,14.11,Auto:Turning Forward,,
116.52,98.19,18.33,No Obsticle: Moving straight,,
116.52,103.27,13.25,Auto:Turning Forward,,
116.52,106.52,9.99,No Obsticle: Moving straight,,
116.52,110.97,5.55,Auto:Turning Forward,,
116.52,319.75,156.77,No Obsticle: Moving straight,,
116.52,318.51,158.01,Auto:Turning Forward,,
116.52,312.31,164.21,No Obsticle: Moving straight,,
116.52,278.47,-161.95,Auto:Turning Forward,,
116.52,355.80,120.72,No Obsticle: Moving straight,,
116.52,294.06,-177.54,Auto:Turning Forward,,
117.93,346.66,131.27,No Obsticle: Moving straight,,
117.93,243.33,-125.39,Auto:Turning Forward,,
117.93,334.13,143.80,No Obsticle: Moving straight,,
117.93,201.56,-83.63,Auto:Turning Forward,,
117.93,355.48,122.45,Forward Right tilt,,
117.93,220.92,-102.99,Auto:Turning Forward,,
117.93,291.47,-173.54,Forward Right tilt,,
117.93,322.52,155.41,Auto:Turning Forward,,
117.93,306.30,171.63,Forward Right tilt,,
117.93,174.44,-56.50,Auto:Turning Forward,,
117.93,344.57,133.37,No Obsticle: Moving straight,,
117.93,185.41,-67.47,Auto:Turning Forward,,
117.93,312.29,165.64,Forward Right tilt,,
117.93,163.37,-45.44,Auto:Turning Forward,,
117.93,157.66,-39.73,Forward Right tilt,,
117.93,176.30,-58.36,Auto:Turning Forward,,
117.93,173.73,-55.79,Forward Right tilt,,
117.93,188.33,-70.40,Auto:Turning Forward,,
117.93,305.34,172.59,Forward Right tilt,,
117.93,163.98,-46.05,Auto:Turning Forward,,
117.93,180.00,-62.07,Forward Right tilt,,
117.93,69.59,48.35,Auto:Turning Forward,,
117.93,168.74,-50.81,Forward Right tilt,,
117.93,5.02,112.92,Auto:Turning Forward,,
117.93,168.49,-50.56,Forward Right tilt,,
117.93,21.00,96.93,Auto:Turning Forward,,
117.93,150.19,-32.26,Forward Right tilt,,
117.93,175.34,-57.41,Auto:Turning Forward,,
117.93,312.51,165.43,Forward Right tilt,,
117.93,180.00,-62.07,Auto:Turning Forward,,
117.93,350.01,127.92,Forward Right tilt,,
117.93,150.39,-32.46,Auto:Turning Forward,,
117.93,111.16,6.78,Forward Right tilt,,
117.93,162.26,-44.32,Auto:Turning Forward,,
117.93,152.37,-34.43,Forward Right tilt,,
117.93,176.87,-58.94,Auto:Turning Forward,,
117.93,214.43,-96.50,Forward Right tilt,,
117.93,360.00,117.93,Auto:Turning Forward,,
117.93,170.23,-52.29,Forward Right tilt,,
117.93,21.28,96.66,Auto:Turning Forward,,
117.88,201.56,-83.68,Forward Right tilt,,
117.88,19.86,98.02,Auto:Turning Forward,,
117.88,200.21,-82.33,Forward Right tilt,,
117.88,339.24,138.64,Auto:Turning Forward,,
117.88,189.57,-71.68,Forward Right tilt,,
117.88,23.10,94.78,Auto:Turning Forward,,
117.88,172.38,-54.50,Forward Right tilt,,
117.88,336.44,141.44,Auto:Turning Forward,,
117.88,332.67,145.21,Forward Right tilt,,
117.88,2.04,115.85,Auto:Turning Forward,,
117.88,116.90,0.98,Forward Right tilt,,
117.88,113.19,4.70,Auto:Turning Forward,,
117.88,120.19,-2.31,Forward Right tilt,,
117.88,107.57,10.31,Auto:Turning Forward,,
117.88,107.64,10.24,Forward Right tilt,,
117.88,122.08,-4.20,Auto:Turning Forward,,
117.88,117.73,0.15,Forward Right tilt,,
117.88,124.87,-6.99,Auto:Turning Forward,,
117.88,127.84,-9.96,Forward Right tilt,,
117.88,137.09,-19.21,Auto:Turning Forward,,
117.88,135.47,-17.58,Forward Right tilt,,
117.88,135.83,-17.94,Auto:Turning Forward,,
117.88,136.53,-18.65,Forward Right tilt,,
117.88,144.40,-26.52,Auto:Turning Forward,,
117.88,143.85,-25.97,No Obsticle: Moving straight,,
117.88,147.33,-29.45,Auto:Turning Forward,,
117.88,144.75,-26.87,Forward Right tilt,,
117.88,147.59,-29.70,Auto:Turning Forward,,
117.88,156.42,-38.53,No Obsticle: Moving straight,,
117.88,153.42,-35.54,Auto:Turning Forward,,
117.88,156.88,-39.00,No Obsticle: Moving straight,,
117.88,159.71,-41.83,Auto:Turning Forward,,
117.88,171.05,-53.17,No Obsticle: Moving straight,,
117.30,165.37,-48.07,Auto:Turning Forward,,
117.30,156.82,-39.52,No Obsticle: Moving straight,,
117.30,167.14,-49.84,Auto:Turning Forward,,
117.30,181.56,-64.26,No Obsticle: Moving straight,,
117.30,170.23,-52.93,Auto:Turning Forward,,
117.30,198.71,-81.42,No Obsticle: Moving straight,,
117.30,166.66,-49.36,Auto:Turning Forward,,
117.30,165.71,-48.41,No Obsticle: Moving straight,,
117.30,162.17,-44.88,Auto:Turning Forward,,
117.30,171.76,-54.46,No Obsticle: Moving straight,,
117.30,226.46,-109.16,Auto:Turning Forward,,
117.30,219.06,-101.76,No Obsticle: Moving straight,,
117.30,221.85,-104.56,Auto:Turning Forward,,
117.30,243.48,-126.18,No Obsticle: Moving straight,,
117.30,194.76,-77.46,Auto:Turning Forward,,
117.30,360.00,117.30,No Obsticle: Moving straight,,
117.30,174.83,-57.53,Auto:Turning Forward,,
117.30,196.12,-78.82,No Obsticle: Moving straight,,
117.30,314.49,162.81,Auto:Turning Forward,,
117.30,265.64,-148.34,No Obsticle: Moving straight,,
117.30,313.54,163.76,Auto:Turning Forward,,
117.30,239.43,-122.14,No Obsticle: Moving straight,,
117.30,346.85,130.45,Auto:Turning Forward,,
117.30,197.17,-79.87,No Obsticle: Moving straight,,
117.26,345.30,131.96,Auto:Turning Forward,,
117.26,231.99,-114.73,No Obsticle: Moving straight,,
117.26,310.45,166.82,Auto:Turning Forward,,
117.26,295.38,-178.12,No Obsticle: Moving straight,,
117.19,277.94,-160.76,Auto:Turning Forward,,
117.19,283.88,-166.70,No Obsticle: Moving straight,,
117.19,302.82,174.37,Auto:Turning Forward,,
117.19,205.29,-88.10,Forward Right tilt,,
117.19,278.26,-161.07,Auto:Turning Forward,,
117.19,311.44,165.75,Forward Right tilt,,
117.19,251.61,-134.42,Auto:Turning Forward,,
117.19,316.68,160.50,Forward Right tilt,,
117.19,251.63,-134.44,Auto:Turning Forward,,
117.19,321.12,156.06,Forward Right tilt,,
117.19,128.99,-11.80,Auto:Turning Forward,,
117.19,144.73,-27.54,Forward Right tilt,,
117.19,171.51,-54.32,Auto:Turning Forward,,
117.19,338.26,138.93,Forward Right tilt,,
117.19,318.15,159.04,Auto:Turning Forward,,
117.19,214.10,-96.91,Forward Right tilt,,
117.19,292.72,-175.53,Auto:Turning Forward,,
117.19,327.26,149.93,Forward Right tilt,,
117.19,260.84,-143.65,Auto:Turning Forward,,
117.19,339.36,137.83,Forward Right tilt,,
117.19,230.06,-112.87,Auto:Turning Forward,,
117.19,336.05,141.14,Forward Right tilt,,
117.19,266.35,-149.16,Auto:Turning Forward,,
117.19,312.51,164.68,Forward Right tilt,,
117.19,254.58,-137.39,Auto:Turning Forward,,
117.19,282.59,-165.40,Forward Right tilt,,
117.19,324.13,153.05,Auto:Turning Forward,,
117.19,17.74,99.45,Forward Right tilt,,
117.19,94.96,22.23,Auto:Turning Forward,,
117.95,86.42,31.53,Forward Right tilt,,
117.95,79.09,38.87,Auto:Turning Forward,,
117.95,62.57,55.38,Forward Right tilt,,
117.95,99.98,17.98,Auto:Turning Forward,,
117.95,97.01,20.94,Forward Right tilt,,
117.95,94.42,23.54,Auto:Turning Forward,,
117.95,81.66,36.29,Forward Right tilt,,
117.88,74.84,43.03,Auto:Turning Forward,,
117.88,72.53,45.35,Forward Right tilt,,
117.88,62.04,55.84,Auto:Turning Forward,,
117.88,91.42,26.46,Forward Right tilt,,
117.88,95.17,22.71,Auto:Turning Forward,,
117.88,93.80,24.08,Forward Right tilt,,
117.88,103.83,14.05,Auto:Turning Forward,,
117.88,104.93,12.95,Forward Right tilt,,
117.88,108.72,9.15,Auto:Turning Forward,,
117.88,124.57,-6.69,Forward Right tilt,,
117.88,124.76,-6.89,Auto:Turning Forward,,
117.88,131.33,-13.45,Forward Right tilt,,
117.88,131.15,-13.27,Auto:Turning Forward,,
117.88,130.54,-12.66,Forward Right tilt,,
118.16,131.23,-13.07,Auto:Turning Forward,,
118.16,132.31,-14.15,Forward Right tilt,,
118.16,130.16,-12.00,Auto:Turning Forward,,
118.16,134.58,-16.42,No Obsticle: Moving straight,,
118.16,136.21,-18.05,Auto:Turning Forward,,
118.16,139.83,-21.67,No Obsticle: Moving straight,,
118.16,139.74,-21.58,Auto:Turning Forward,,
118.01,143.56,-25.56,No Obsticle: Moving straight,,
118.01,142.39,-24.39,Auto:Turning Forward,,
118.01,141.45,-23.45,Forward Right tilt,,
118.01,139.73,-21.72,Auto:Turning Forward,,
118.01,142.52,-24.52,Forward Right tilt,,
118.01,137.08,-19.07,Auto:Turning Forward,,
118.01,136.68,-18.68,No Obsticle: Moving straight,,
118.01,133.68,-15.67,Auto:Turning Forward,,
118.01,131.89,-13.88,No Obsticle: Moving straight,,
118.01,125.10,-7.09,Auto:Turning Forward,,
118.01,128.40,-10.40,No Obsticle: Moving straight,,
118.01,123.21,-5.21,Auto:Turning Forward,,
118.01,124.35,-6.35,No Obsticle: Moving straight,,
118.01,123.92,-5.92,Auto:Turning Forward,,
118.01,120.46,-2.45,No Obsticle: Moving straight,,
118.01,123.68,-5.67,Auto:Turning Forward,,
118.01,127.76,-9.75,No Obsticle: Moving straight,,
118.01,123.05,-5.04,Auto:Turning Forward,,
118.01,122.35,-4.35,No Obsticle: Moving straight,,
118.01,122.92,-4.92,Auto:Turning Forward,,
118.01,116.63,1.37,No Obsticle: Moving straight,,
118.14,121.35,-3.21,Auto:Turning Forward,,
118.14,118.84,-0.70,No Obsticle: Moving straight,,
118.14,121.08,-2.95,Auto:Turning Forward,,
118.14,118.49,-0.35,No Obsticle: Moving straight,,
118.14,110.43,7.70,Auto:Turning Forward,,
118.14,109.24,8.89,No Obsticle: Moving straight,,
118.14,110.08,8.05,Auto:Turning Forward,,
118.14,103.99,14.14,No Obsticle: Moving straight,,
118.14,103.02,15.12,Auto:Turning Forward,,
118.14,102.87,15.27,Forward Right tilt,,
118.14,100.99,17.14,Auto:Turning Forward,,
118.35,101.43,16.91,Forward Right tilt,,
118.35,101.50,16.85,Auto:Turning Forward,,
118.35,98.21,20.14,Forward Right tilt,,
118.35,98.69,19.66,Auto:Turning Forward,,
118.35,98.69,19.66,Forward Right tilt,,
118.35,103.55,14.80,Auto:Turning Forward,,
118.35,100.98,17.37,Forward Right tilt,,
118.35,102.93,15.42,Auto:Turning Forward,,
118.35,101.15,17.20,Forward Right tilt,,
118.35,98.74,19.61,Auto:Turning Forward,,
118.35,103.82,14.53,Forward Right tilt,,
118.35,102.30,16.05,Auto:Turning Forward,,
118.35,102.64,15.70,Forward Right tilt,,
118.35,104.00,14.35,Auto:Turning Forward,,
118.35,104.46,13.89,Forward Right tilt,,
118.35,107.66,10.69,Auto:Turning Forward,,
118.35,110.01,8.34,Forward Right tilt,,
118.35,111.53,6.82,Auto:Turning Forward,,
118.35,112.51,5.84,Forward Right tilt,,
118.35,111.66,6.69,Auto:Turning Forward,,
118.35,110.88,7.47,Forward Right tilt,,
118.35,108.97,9.38,Auto:Turning Forward,,
118.35,100.85,17.49,Forward Right tilt,,
118.35,96.05,22.30,Auto:Turning Forward,,
118.35,93.52,24.83,Forward Right tilt,,
118.35,92.56,25.79,Auto:Turning Forward,,
119.36,88.94,30.42,Forward Right tilt,,
119.36,83.82,35.54,Auto:Turning Forward,,
119.36,79.84,39.52,Forward Right tilt,,
119.36,80.87,38.48,Auto:Turning Forward,,
119.36,84.22,35.14,Forward Right tilt,,
119.36,92.80,26.56,Auto:Turning Forward,,
119.36,94.66,24.69,Forward Right tilt,,
119.36,89.38,29.98,Auto:Turning Forward,,
119.36,87.72,31.63,No Obsticle: Moving straight,,
119.36,80.89,38.47,Auto:Turning Forward,,
119.36,80.47,38.89,No Obsticle: Moving straight,,
119.36,72.86,46.50,Auto:Turning Forward,,
119.36,72.64,46.71,No Obsticle: Moving straight,,
119.36,73.94,45.42,Auto:Turning Forward,,
119.84,78.17,41.67,No Obsticle: Moving straight,,
119.84,69.62,50.21,Auto:Turning Forward,,
119.84,100.26,19.58,No Obsticle: Moving straight,,
119.84,105.38,14.46,Auto:Turning Forward,,
119.84,103.45,16.38,No Obsticle: Moving straight,,
119.84,107.74,12.10,Auto:Turning Forward,,
119.84,109.23,10.60,No Obsticle: Moving straight,,
119.84,121.63,-1.80,Auto:Turning Forward,,
119.84,123.14,-3.30,No Obsticle: Moving straight,,
119.84,125.09,-5.25,Auto:Turning Forward,,
119.84,125.49,-5.65,No Obsticle: Moving straight,,
119.84,125.14,-5.30,Auto:Turning Forward,,
119.84,123.18,-3.34,No Obsticle: Moving straight,,
119.84,125.33,-5.49,Auto:Turning Forward,,
119.92,119.25,0.67,No Obsticle: Moving straight,,
119.92,119.66,0.26,Auto:Turning Forward,,
119.92,115.33,4.59,No Obsticle: Moving straight,,
119.92,114.53,5.39,Auto:Turning Forward,,
119.92,113.84,6.08,No Obsticle: Moving straight,,
119.92,116.80,3.12,Auto:Turning Forward,,
119.92,116.99,2.92,No Obsticle: Moving straight,,
119.84,119.12,0.72,Auto:Turning Forward,,
119.84,120.99,-1.15,No Obsticle: Moving straight,,
119.84,120.86,-1.03,Auto:Turning Forward,,
119.84,119.14,0.69,No Obsticle: Moving straight,,
119.84,116.57,3.27,Auto:Turning Forward,,
119.84,114.65,5.19,Forward Right tilt,,
119.84,113.60,6.24,Auto:Turning Forward,,
119.84,107.65,12.18,Forward Right tilt,,
119.84,112.33,7.50,Auto:Turning Forward,,
119.84,120.24,-0.41,Forward Right tilt,,
119.84,130.73,-10.89,Auto:Turning Forward,,
119.84,132.13,-12.29,Forward Right tilt,,
119.84,152.82,-32.99,Auto:Turning Forward,,
119.84,155.34,-35.50,Forward Right tilt,,
119.84,163.80,-43.96,Auto:Turning Forward,,
119.84,182.30,-62.47,Forward Right tilt,,
119.84,204.71,-84.87,Auto:Turning Forward,,
119.84,333.54,146.29,Forward Right tilt,,
119.84,183.73,-63.90,Auto:Turning Forward,,
119.84,213.37,-93.53,Forward Right tilt,,
119.84,350.78,129.05,Auto:Turning Forward,,
119.84,135.13,-15.30,Forward Right tilt,,
119.84,78.64,41.20,Auto:Turning Forward,,
119.84,81.91,37.92,Forward Right tilt,,
119.84,24.13,95.71,Auto:Turning Forward,,
119.84,218.44,-98.60,Forward Right tilt,,
119.84,328.69,151.15,Auto:Turning Forward,,
119.84,193.97,-74.14,Forward Right tilt,,
119.84,347.25,132.58,Auto:Turning Forward,,
119.84,225.11,-105.27,Forward Right tilt,,
119.84,357.77,122.07,Auto:Turning Forward,,
119.84,257.41,-137.58,Forward Right tilt,,
119.84,345.79,134.04,Auto:Turning Forward,,
119.84,257.41,-137.58,Forward Right tilt,,
119.84,353.47,126.36,Auto:Turning Forward,,
119.84,98.47,21.37,Forward Right tilt,,
119.84,6.90,112.93,Auto:Turning Forward,,
119.84,157.38,-37.54,Forward Right tilt,,
119.84,75.55,44.28,Auto:Turning Forward,,
119.84,67.48,52.36,Forward Right tilt,,
119.84,158.03,-38.19,Auto:Turning Forward,,
119.84,181.44,-61.60,Forward Right tilt,,
119.84,344.96,134.88,Auto:Turning Forward,,
119.84,163.07,-43.23,Forward Right tilt,,
119.84,162.02,-42.18,Auto:Turning Forward,,
119.84,127.30,-7.46,Forward Right tilt,,
119.59,53.34,66.25,Auto:Turning Forward,,
119.59,214.03,-94.44,Forward Right tilt,,
119.59,2.49,117.10,Auto:Turning Forward,,
119.59,169.21,-49.62,No Obsticle: Moving straight,,
119.43,318.15,161.28,Auto:Turning Forward,,
119.43,188.98,-69.55,No Obsticle: Moving straight,,
119.43,330.37,149.06,Auto:Turning Forward,,
119.43,204.80,-85.37,No Obsticle: Moving straight,,
119.18,283.86,-164.68,Auto:Turning Forward,,
119.18,340.75,138.43,No Obsticle: Moving straight,,
119.18,310.97,168.21,Auto:Turning Forward,,
119.18,230.69,-111.51,No Obsticle: Moving straight,,
119.18,295.12,-175.94,Auto:Turning Forward,,
119.18,320.05,159.13,No Obsticle: Moving straight,,
119.18,302.18,177.00,Auto:Turning Forward,,
119.18,211.66,-92.48,No Obsticle: Moving straight,,
119.18,325.57,153.61,Auto:Turning Forward,,
119.18,198.74,-79.56,No Obsticle: Moving straight,,
119.18,197.74,-78.56,Auto:Turning Forward,,
119.18,180.00,-60.82,No Obsticle: Moving straight,,
119.18,190.29,-71.11,Auto:Turning Forward,,
119.18,219.86,-100.68,No Obsticle: Moving straight,,
119.18,335.87,143.31,Auto:Turning Forward,,
119.18,163.37,-44.20,No Obsticle: Moving straight,,
119.18,178.93,-59.75,Auto:Turning Forward,,
119.18,224.60,-105.42,No Obsticle: Moving straight,,
119.18,208.44,-89.26,Auto:Turning Forward,,
119.18,123.07,-3.89,No Obsticle: Moving straight,,
119.18,87.16,32.02,Auto:Turning Forward,,
119.18,203.10,-83.92,No Obsticle: Moving straight,,
119.18,333.66,145.52,Auto:Turning Forward,,
119.18,151.08,-31.90,No Obsticle: Moving straight,,
119.18,156.12,-36.94,Auto:Turning Forward,,
119.18,151.34,-32.16,No Obsticle: Moving straight,,
119.18,144.84,-25.66,Auto:Turning Forward,,
119.18,137.90,-18.72,No Obsticle: Moving straight,,
119.18,135.61,-16.43,Auto:Turning Forward,,
119.18,129.51,-10.33,No Obsticle: Moving straight,,
119.18,126.44,-7.26,Auto:Turning Forward,,
119.18,127.32,-8.14,No Obsticle: Moving straight,,
119.16,127.48,-8.31,Auto:Turning Forward,,
119.16,133.19,-14.03,No Obsticle: Moving straight,,
119.16,136.18,-17.01,Auto:Turning Forward,,
119.16,136.70,-17.53,No Obsticle: Moving straight,,
119.16,144.07,-24.90,Auto:Turning Forward,,
119.16,140.17,-21.01,No Obsticle: Moving straight,,
119.16,148.40,-29.24,Auto:Turning Forward,,
119.16,145.25,-26.08,No Obsticle: Moving straight,,
119.16,146.14,-26.98,Auto:Turning Forward,,
119.16,157.78,-38.61,Forward Right tilt,,
119.16,158.04,-38.88,Auto:Turning Forward,,
118.99,157.66,-38.67,No Obsticle: Moving straight,,
118.99,160.47,-41.48,Auto:Turning Forward,,
118.99,153.64,-34.65,Forward Right tilt,,
118.99,155.45,-36.46,Auto:Turning Forward,,
118.99,164.08,-45.09,Forward Right tilt,,
118.99,159.16,-40.17,Auto:Turning Forward,,
118.99,157.36,-38.37,Forward Right tilt,,
118.99,161.15,-42.15,Auto:Turning Forward,,
118.99,42.08,76.91,Forward Right tilt,,
118.99,62.14,56.85,Auto:Turning Forward,,
118.99,98.55,20.44,Forward Right tilt,,
118.99,91.57,27.42,Auto:Turning Forward,,
118.99,75.25,43.74,Forward Right tilt,,
118.99,61.02,57.97,Auto:Turning Forward,,
118.99,82.47,36.52,Forward Right tilt,,
118.99,73.82,45.17,Auto:Turning Forward,,
118.99,69.08,49.91,Forward Right tilt,,
118.99,62.56,56.43,Auto:Turning Forward,,
118.99,86.83,32.16,Forward Right tilt,,
117.65,84.56,33.09,Auto:Turning Forward,,
117.65,85.23,32.41,Forward Right tilt,,
117.65,84.56,33.09,Auto:Turning Forward,,
117.65,84.28,33.36,Forward Right tilt,,
117.65,83.96,33.69,Auto:Turning Forward,,
117.65,80.48,37.17,Forward Right tilt,,
117.65,78.83,38.82,Auto:Turning Forward,,
117.65,76.74,40.90,Forward Right tilt,,
117.65,73.48,44.17,Auto:Turning Forward,,
117.65,78.84,38.80,Forward Right tilt,,
117.65,83.23,34.42,Auto:Turning Forward,,
117.06,82.85,34.21,Forward Right tilt,,
117.06,90.95,26.11,Auto:Turning Forward,,
117.06,102.82,14.24,Forward Right tilt,,
117.06,113.66,3.41,Auto:Turning Forward,,
117.06,113.70,3.36,Forward Right tilt,,
117.06,108.85,8.21,Auto:Turning Forward,,
117.06,105.57,11.49,Forward Right tilt,,
117.24,105.07,12.17,Auto:Turning Forward,,
117.24,102.92,14.32,Forward Right tilt,,
117.24,103.22,14.02,Auto:Turning Forward,,
117.24,102.14,15.10,Forward Right tilt,,
117.24,95.62,21.62,Auto:Turning Forward,,
117.24,92.18,25.05,Forward Right tilt,,
117.24,89.86,27.38,Auto:Turning Forward,,
117.24,85.28,31.96,Forward Right tilt,,
117.24,80.58,36.66,Auto:Turning Forward,,
117.24,75.63,41.61,Forward Right tilt,,
117.24,73.97,43.27,Auto:Turning Forward,,
116.61,70.47,46.15,Forward Right tilt,,
116.61,69.30,47.31,Auto:Turning Forward,,
116.61,65.31,51.31,Forward Right tilt,,
116.61,79.70,36.92,Auto:Turning Forward,,
116.61,77.75,38.87,Forward Right tilt,,
116.61,74.33,42.28,Auto:Turning Forward,,
116.61,75.35,41.26,Forward Right tilt,,
116.61,71.03,45.58,Auto:Turning Forward,,
116.61,72.15,44.46,Forward Right tilt,,
116.61,73.76,42.86,Auto:Turning Forward,,
116.61,74.74,41.88,Forward Right tilt,,
116.61,82.19,34.42,Auto:Turning Forward,,
116.61,84.52,32.10,Forward Right tilt,,
116.61,85.84,30.78,Auto:Turning Forward,,
116.61,80.81,35.80,Forward Right tilt,,
116.61,77.23,39.39,Auto:Turning Forward,,
116.61,74.17,42.45,Forward Right tilt,,
116.61,67.35,49.26,Auto:Turning Forward,,
116.61,70.02,46.59,Forward Right tilt,,
116.61,71.83,44.78,Auto:Turning Forward,,
116.61,74.11,42.50,No Obsticle: Moving straight,,
116.61,75.47,41.14,Auto:Turning Forward,,
116.61,79.68,36.94,No Obsticle: Moving straight,,
116.61,80.46,36.15,Auto:Turning Forward,,
116.61,78.11,38.50,No Obsticle: Moving straight,,
116.61,74.67,41.95,Auto:Turning Forward,,
116.61,78.32,38.29,No Obsticle: Moving straight,,
116.61,94.42,22.19,Auto:Turning Forward,,
116.61,103.49,13.13,Auto:Stop,,
116.61,124.90,-8.29,Auto:Backwards,,
116.61,124.52,-7.90,Auto:Turning Left,,
116.61,136.51,-19.90,Auto:Turning Forward,,
116.61,136.64,-20.03,No Obsticle: Moving straight,,
116.61,126.20,-9.58,Auto:Turning Right,,
116.61,131.05,-14.43,Auto:Turning Right,,
116.61,81.12,35.50,Auto:Turning Right,,
116.61,10.79,105.82,Auto:Turning Left,,
116.61,128.79,-12.18,Auto:Turning Right,,
116.61,347.96,128.65,Auto:Turning Left,,
116.61,223.82,-107.21,Auto:Turning Right,,
116.61,358.62,117.99,Auto:Turning Left,,
116.61,245.94,-129.32,Auto:Turning Right,,
116.61,2.64,113.97,Auto:Turning Left,,
116.61,294.06,-177.45,Auto:Turning Right,,
116.61,347.73,128.88,Auto:Turning Left,,
116.61,335.33,141.29,Auto:Turning Left,,
116.61,268.98,-152.36,Auto:Turning Right,,
116.61,335.28,141.34,Auto:Turning Right,,
116.61,224.87,-108.25,Auto:Turning Left,,
116.61,356.47,120.14,Auto:Turning Right,,
116.61,237.82,-121.21,Auto:Turning Left,,
116.61,336.50,140.11,Auto:Turning Right,,
116.61,217.32,-100.71,Auto:Turning Forward,,
116.61,231.01,-114.40,Forward Right tilt,,
116.61,203.89,-87.28,Auto:Turning Forward,,
116.61,232.20,-115.59,Forward Right tilt,,
119.29,2.73,116.56,Auto:Turning Left,,
119.29,146.63,-27.34,Auto:Turning Left,,
119.29,146.29,-27.01,Auto:Turning Left,,
119.29,117.87,1.42,Auto:Turning Right,,
119.29,127.51,-8.22,Auto:Turning Forward,,
119.29,121.76,-2.47,Forward Right tilt,,
119.29,137.94,-18.65,Auto:Turning Left,,
119.29,114.46,4.83,Auto:Turning Forward,,
119.29,120.67,-1.38,Forward Right tilt,,
119.29,120.20,-0.92,Auto:Turning Left,,
119.29,118.95,0.34,Auto:Turning Right,,
119.29,112.92,6.37,Auto:Turning Left,,
119.29,121.15,-1.86,Auto:Turning Right,,
119.29,115.10,4.19,Auto:Turning Forward,,
119.29,118.08,1.21,Forward Right tilt,,
119.29,120.72,-1.43,Auto:Turning Left,,
119.29,125.57,-6.28,Auto:Turning Right,,
119.29,130.10,-10.81,Auto:Turning Left,,
119.29,137.58,-18.29,Auto:Turning Right,,
119.29,138.41,-19.13,Auto:Turning Forward,,
119.29,138.23,-18.94,Forward Right tilt,,
120.25,144.23,-23.98,Auto:Turning Forward,,
120.25,146.35,-26.10,Forward Right tilt,,
120.25,143.71,-23.46,Auto:Turning Forward,,
120.25,144.88,-24.62,Forward Right tilt,,
120.25,135.25,-15.00,Auto:Turning Forward,,
120.25,131.67,-11.42,Forward Right tilt,,
120.25,126.72,-6.47,Auto:Turning Left,,
120.25,126.83,-6.57,Auto:Turning Left,,
120.25,126.63,-6.38,Auto:Turning Right,,
120.25,122.63,-2.38,Auto:Turning Left,,
120.25,125.94,-5.68,Auto:Turning Right,,
121.32,124.87,-3.54,Auto:Turning Left,,
121.32,127.67,-6.34,Auto:Turning Right,,
121.32,127.86,-6.54,Auto:Turning Left,,
121.32,128.74,-7.42,Auto:Turning Right,,
121.32,132.04,-10.72,Auto:Turning Left,,
121.32,132.40,-11.08,Auto:Turning Right,,
121.32,131.29,-9.96,Auto:Turning Left,,
121.32,137.08,-15.76,Auto:Turning Right,,
121.32,138.78,-17.46,Auto:Turning Right,,
121.32,133.55,-12.22,Auto:Turning Right,,
121.32,131.62,-10.29,Auto:Turning Forward,,
126.70,126.92,-0.21,Forward Right tilt,,
126.70,107.87,18.83,Auto:Turning Forward,,
126.70,92.37,34.33,Forward Right tilt,,
126.70,85.86,40.84,Auto:Turning Forward,,
126.70,87.63,39.08,Forward Right tilt,,
126.70,90.25,36.45,Auto:Turning Forward,,
